duty	OD
1600	0.040
1700	0.041
1800	0.062
1900	0.119
2000	0.183
2100	0.266
2200	0.339
2300	0.410
2400	0.476
2500	0.559
2600	0.636
2700	0.716
2800	0.801
2900	0.883
3000	0.951
3100	1.021
3200	1.092
3300	1.152
3400	1.231
3500	1.296
3600	1.354
3700	1.415
3800	1.475
3900	1.532
4000	1.587
4100	1.645
4200	1.699
4300	1.754
4400	1.805
4500	1.851
4600	1.898
4700	1.943
4800	1.989
4900	2.033
5000	2.079
5100	2.117
5200	2.157
5300	2.201
5400	2.257
5500	2.298
5600	2.338
5700	2.382
5800	2.431
5900	2.472
6000	2.529
6100	2.577
6200	2.634
6300	2.680
6400	2.725
6500	2.769
6600	2.813
6700	2.854
6800	2.896
6900	2.936
7000	2.975
7100	3.013
7200	3.046
7300	3.068
7400	3.081
